Institution,Recs,LCS,GCS
Natl Biodivers Future Ctr,4,1,8
Natl Chung Hsing Univ,4,1,15
Natl Inst Agr Sci,4,13,44
Natl Res Council Italy,4,0,63
Natl Taiwan Ocean Univ,4,1,11
Natl Taiwan Univ,4,4,51
Nicolaus Copernicus Univ Torun,4,28,228
Ningbo Univ,4,0,6
Northeastern Univ,4,0,16
NSW Dept Primary Ind,4,11,65
Palacky Univ Olomouc,4,6,58
Philipps Univ Marburg,4,4,40
Pontificia Univ Catolica Rio Grande do Sul,4,3,97
Pukyong Natl Univ,4,0,10
San Francisco State Univ,4,6,117
Sao Paulo State Univ,4,0,30
Senckenberg Biodivers & Climate Res Ctr BiK F,4,3,124
Senckenberg Deutsch Entomol Inst,4,3,32
Simon Fraser Univ,4,5,81
Slovak Acad Sci,4,15,115
Smithsonian Conservat Biol Inst,4,3,246
South China Normal Univ,4,0,79
Southern Univ Sci & Technol,4,0,109
St Marys Univ,4,0,13
State Museum Nat Hist,4,0,56
Sulaimani Polytech Univ,4,5,436
Swedish Univ Agr Sci SLU,4,16,128
Technion Israel Inst Technol,4,18,89
Tezpur Univ,4,0,15
Thapar Inst Engn & Technol,4,1,7
Umea Univ,4,14,116
UNC,4,6,54
UNESP,4,35,241
Univ Alcala,4,8,93
Univ Andes,4,0,208
Univ Autonoma Agr Antonio Narro,4,0,45
Univ Autonoma Estado Hidalgo,4,0,84
Univ Autonoma Metropolitana,4,40,107
Univ Autonoma Metropolitana Iztapalapa,4,3,88
Univ Autonoma Sinaloa,4,0,53
Univ Azad Jammu & Kashmir,4,2,146
Univ Basque Country,4,14,77
Univ Bremen,4,6,87
Univ Cadiz,4,0,34
Univ Carthage,4,0,62
Univ Chittagong,4,17,91
Univ Crete,4,6,91
Univ Dschang,4,2,36
Univ Duisburg Essen,4,4,71
Univ Fed Acre,4,2,175
Univ Fed Espirito Santo,4,2,50
Univ Fed Lavras,4,2,223
Univ Fed Rural Pernambuco,4,0,53
Univ Geneva,4,767,2487
Univ Haripur,4,2,36
Univ Indonesia,4,0,20
Univ Insubria,4,1,139
Univ Jaen,4,8,71
Univ Kassel,4,0,91
Univ Koblenz Landau,4,5,110
Univ La Laguna,4,0,26
Univ Lagos,4,8,29
Univ Lleida,4,4,52
Univ Lorraine,4,10,104
Univ Malakand,4,1,188
Univ Miguel Hernandez,4,7,43
Univ Nacl Nordeste,4,0,63
Univ Nacl San Antonio Abad Cusco,4,0,220
Univ Namur,4,11,131
Univ New South Wales,4,5,77
Univ North Carolina,4,25,129
Univ Oriente,4,1,23
Univ Padua,4,7,59
Univ Parma,4,14,229
Univ Paul Valery Montpellier,4,36,189
Univ Puerto Rico,4,0,2
Univ Regensburg,4,23,200
Univ S Florida,4,0,51
Univ San Carlos,4,1,63
Univ San Francisco Quito,4,0,190
Univ Santiago de Compostela,4,0,23
Univ Saskatchewan,4,0,13
Univ Savoie Mt Blanc,4,2,47
Univ South Bohemia,4,1,45
Univ South Dakota,4,2,29
Univ Strasbourg,4,0,19
Univ Teknol Malaysia,4,0,103
Univ Toronto Scarborough,4,4,166
Univ Toulouse,4,0,69
Univ Valencia,4,0,71
Univ Warsaw,4,0,41
Univ York,4,12,127
Unknown,4,3,41
Walter Reed Army Inst Res,4,11,225
Washington Dept Fish & Wildlife,4,17,79
West Virginia Univ,4,0,19
Western Australian Dept Environm & Conservat,4,1831,5813
World Agroforestry Ctr,4,75,288
Wroclaw Univ Environm & Life Sci,4,0,46
WWF Malaysia,4,27,183
Xinzhou Teachers Univ,4,0,89
Zhejiang A&F Univ,4,0,178
Zhejiang Marine Fisheries Res Inst,4,0,15
Aalborg Univ,3,12,126
Aalto Univ,3,2,39
Abo Akad Univ,3,8,115
Acad Plateau Sci & Sustainabil,3,1,44
Africa Rice Ctr AfricaRice,3,0,134
Agr & Agrifood Canada,3,0,8
Agr & Forestry Univ,3,0,67
Agr Res Council,3,15,134
ARC Plant Protect Res Inst,3,7,132
Assam Univ,3,6,31
ATREE,3,29,205
Australian Museum,3,13,138
Bahauddin Zakariya Univ,3,0,1
Banaras Hindu Univ,3,0,24
Bar Ilan Univ,3,0,6
Bedford Inst Oceanog,3,4,42
Ben Gurion Univ Negev,3,8,37
Boise State Univ,3,7,57
Bristol Zool Soc,3,1,27
Bulgarian Soc Protect Birds BirdLife Bulgaria,3,3,30
Cairo Univ,3,0,29
Calif Dept Publ Hlth,3,3,57
Calif State Polytech Univ Pomona,3,0,57
CALTECH,3,68,268
Canadian Wildlife Serv,3,0,15
Carnegie Inst Sci,3,5,79
Carnegie Mellon Univ,3,29,215
Cele Natl Stn Observat & Res Desert Grassland Ecos,3,0,32
Cent Univ Jharkhand,3,4,60
Chengdu Univ Technol,3,0,19
Chiang Mai Univ,3,0,30
China Jiliang Univ,3,0,42
Chinese Acad Med Sci,3,0,63
Chinhoyi Univ Technol,3,1,10
Chongqing Normal Univ,3,0,8
Christian Albrechts Univ Kiel,3,6,39
Chulalongkorn Univ,3,2,9
CoLAB ForestWISE Collaborat Lab Integrated Forest,3,1,12
Cologne Zoo,3,2,38
Colorado Pk & Wildlife,3,0,24
Consorzio Nazl Interuniv Sci Mare,3,0,7
Copenhagen Zoo,3,27,204
Corbett Fdn,3,0,134
CSIRO Ecosyst Sci & Climate Adaptat Flagship,3,104,856
CSIRO Marine & Atmospher Res,3,66,761
Ctr Cooperat Int Rech Agron Dev,3,18,122
Ctr Invest Biol Noroeste,3,0,30
Damanhour Univ,3,0,83
Dedan Kimathi Univ Technol,3,0,15
Dept Conservat,3,8,59
Dept Natl Pk Wildlife & Plant Conservat,3,6,60
Dr Hari Singh Gour Vishwavidyalaya,3,2,49
East Fdn,3,0,35
Eco Bridge Continental,3,0,10
Egyptian Environm Affairs Agcy,3,24,94
Embrapa Clima Temperado,3,0,5
ETH,3,9,152
Ethiopian Forest Dev,3,0,11
Ethiopian Space Sci & Technol Inst ESSTI,3,0,116
Fairchild Trop Bot Garden,3,24,237
Fdn Bariloche,3,0,4
Fisheries Res Inst,3,1,6
Florida Museum Nat Hist,3,4,36
Food & Agr Org United Nations,3,2,28
Fujian Acad Agr Sci,3,0,48
Fuzhou Univ,3,0,21
Gen Dept Nat Resources & Watershed Management Ilam,3,0,59
GEOMAR Helmholtz Ctr Ocean Res Kiel,3,1,37
Georg August Univ Gottingen,3,0,21
Georgetown Univ,3,9,143
Georgia Southern Univ,3,0,12
German Aerosp Ctr DLR,3,16,168
Golestan Univ,3,3,11
Golestan Univ Med Sci,3,1,14
Gombe State Univ,3,0,33
Govt Arts Coll,3,6,20
Grad Univ Adv Technol,3,1,14
Guangdong Acad Forestry,3,0,18
Guangxi Minzu Normal Univ,3,0,22
Hainan Univ,3,0,38
Hebei Dahaituo Natl Nat Reserve Management Ctr,3,1,21
Heilongjiang Univ,3,11,77
Helmholtz Ctr Environm Res,3,0,13
Helmholtz Ctr Environm Res UFZ Leipzig,3,2,11
Himalayan Forest Res Inst,3,9,28
Hohai Univ,3,16,91
Huazhong Agr Univ,3,3,37
Hubei Minzu Univ,3,0,9
ICAR Cent Inst Cotton Res,3,13,48
ICAR Natl Bur Plant Genet Resources,3,4,18
ICFRE Forest Res Inst,3,0,17
Ilam Univ,3,0,59
Illinois Dept Nat Resources,3,7,40
Illinois Nat Hist Survey,3,0,39
Incheon Natl Univ,3,0,41
Indian Council Forestry Res & Educ,3,7,27
Indian Inst Forest Management,3,4,12
Indiana Univ,3,5,32
Inner Mongolia Univ,3,0,18
INRAE,3,1,62
Inst Ecol AC INECOL,3,0,18
Inst Espanol Oceanog,3,0,112
Inst Fed Ciencia & Tecnol Triangulo Mineiro,3,4,17
Inst Forest Genet & Tree Breeding,3,0,67
Inst Invest Biol Clemente Estable,3,6,82
Inst Nacl Invest Forestales Agr & Pecuarias,3,0,20
Inst Nacl Salud,3,8,126
Inst Politecn Castelo Branco,3,0,48
Inst Senegalais Rech Agr,3,18,139
Inst Space Technol,3,17,137
Inst Trop Med,3,0,61
Inst Venezolano Invest Cient,3,1,87
Inst Zool,3,0,15
Int Ctr Integrated Mt Dev,3,22,79
Int Livestock Res Inst ILRI,3,0,18
Int Potato Ctr CIP,3,1,9
Interamer Trop Tuna Commiss,3,4,63
IRD,3,26,158
Islamia Univ Bahawalpur,3,4,16
Ist Super Sanita,3,0,42
Izmir Katip Celebi Univ,3,9,75
Jawaharlal Nehru Univ,3,19,163
Jiangsu Acad Forestry,3,0,8
Jiangsu Ctr Collaborat Innovat Geog Informat Reso,3,11,238
Jiangsu Marine Fisheries Res Inst,3,0,45
Jinggangshan Univ,3,0,20
Joint Lab Monitoring & Conservat Aquat Living Reso,3,0,10
Jomo Kenyatta Univ Agr & Technol,3,5,25
Jonian Dolphin Conservat,3,7,49
Justus Liebig Univ Giessen,3,0,17
Karadeniz Tech Univ,3,0,6
Karlsruhe Inst Technol,3,8,52
Kenyatta Univ,3,1,21
Kharazmi Univ,3,1,30
Kirstenbosch Res Ctr,3,42,223
Klaipeda Univ,3,6,67
Klamath Ctr Conservat Res,3,37,263
KN Toosi Univ Technol,3,0,13
Korea Forestry Promot Inst,3,0,53
Kwame Nkrumah Univ Sci & Technol,3,1,34
La Sierra Univ,3,4,30
Leibniz Assoc,3,7,97
Leibniz Ctr Agr Landscape Res ZALF,3,20,166
Lorestan Univ,3,0,125
Loyola Univ Chicago,3,1,3
Mahidol Univ,3,0,10
Makerere Univ,3,17,66
Malawi Univ Sci & Technol,3,0,7
Manipal Acad Higher Educ,3,1,12
Manipal Univ,3,35,107
Mansoura Univ,3,90,265
Marshall Univ,3,2,39
Mem Univ,3,4,23
Mianyang Normal Univ,3,5,24
Michigan Technol Univ,3,2,30
Minist Forest & Environm,3,2,22
Minist Forest Environm & Soil Conservat,3,0,35
Minist Hlth & Med Educ,3,11,114
Minist Water Resources,3,5,59
Misool Fdn,3,4,60
Missouri Dept Conservat,3,2,28
Mohammed VI Polytech Univ,3,0,25
Mt Allison Univ,3,1,73
Mulawarman Univ,3,0,1046
Murray State Univ,3,0,26
Museo Argentino Ciencias Nat Bernardino Rivadavia,3,2,31
Museo Nacl Hist Nat,3,69,227
Museu Paraense Emilio Goeldi,3,0,172
Museum Koenig Bonn,3,1,14
Nanjing Med Univ,3,0,29
Nat Hist Museum Vienna,3,2,48
Nat Res Ctr,3,5,120
Natl Chiayi Univ,3,0,5
Natl Ctr Wildlife,3,0,27
Natl Inst Oceanog & Appl Geophys OGS,3,3,25
Natl Inst Water & Atmospher Res NIWA,3,1,28
Natl Marine Fisheries Serv,3,1,56
Natl Museum Nat Hist,3,8,44
Natl Museum Nat Sci,3,9,101
Natl Ocean & Atmospher Adm,3,0,44
Natl Oceanog Ctr,3,2,83
Natl Res Council CNR,3,19,145
Natl Taiwan Normal Univ,3,7,94
Natl Trust Nat Conservat,3,0,56
Natl Univ Sci & Technol,3,24,72
Naturalis Biodivers Ctr,3,5,42
Naval Med Res Ctr,3,6,58
Netherlands Inst Ecol NIOO KNAW,3,7,64
New Zealand Inst Plant & Food Res Ltd,3,0,37
Nicolaus Copernicus Univ,3,0,35
Ningxia Univ,3,0,25
North Carolina Museum Nat Sci,3,7,69
North China Elect Power Univ,3,120,333
North West Univ,3,1,60
Northwestern Polytech Univ,3,0,11
Norwegian Univ Sci & Technol,3,0,46
Nova Southeastern Univ,3,4,87
Ohio Univ,3,12,118
Okinawa Inst Sci & Technol Grad Univ,3,210,770
Oregon Dept Fish & Wildlife,3,3,31
Osun State Univ,3,0,32
Pakistan Museum Nat Hist,3,8,74
Pilot Natl Lab Marine Sci & Technol,3,0,54
Pir Mehr Ali Shah Arid Agr Univ Rawalpindi,3,0,158
Point Blue Conservat Sci,3,0,91
Pokhara Zool Pk & Wildlife Rescue Ctr,3,0,38
Pondicherry Univ,3,80,225
Publ Hlth Agcy Canada,3,11,116
Qingdao Natl Lab Marine Sci & Technol,3,1,18
Quaid I Azam Univ,3,0,190
Queensland Univ Technol,3,11,114
Real Jardin Bot RJB CSIC,3,3,108
Resources Himalaya Fdn,3,0,20
RMIT Univ,3,15,136
Royal Netherlands Inst Sea Res,3,0,38
Royal Ontario Museum,3,9,83
Royal Zool Soc Antwerp RZSA,3,1,15
S African Natl Biodivers Inst,3,25,162
Salim Ali Ctr Ornithol & Nat Hist,3,0,7
San Diego State Univ,3,2,141
Sapienza Univ Roma,3,18,76
Senckenberg Biodivers & Climate Res Ctr,3,79,412
Senckenberg Dresden,3,6,46
Serv Nacl Areas Nat Protegidas Estado SERNANP,3,0,19
Shahid Bahonar Univ Kerman,3,6,22
Shahid Sadoughi Univ Med Sci,3,1,43
Shandong Univ Sci & Technol,3,0,45
Shanxi Univ,3,4,100
Shenyang Normal Univ,3,0,16
Sichuan Meteorol Observ,3,0,190
Sikkim Reg Ctr,3,3,57
Small Mammals Conservat & Res Fdn,3,0,79
Smithsonian Environm Res Ctr,3,38,153
Smithsonian Trop Res Inst,3,20,107
Soc Preservat Herpetol Divers,3,4,74
Sofia Univ St Kliment Ohridski,3,0,48
South African Inst Aquat Biodivers,3,2,74
South Australian Museum,3,9,23
South Australian Res & Dev Inst,3,13,190
Southwest Minzu Univ,3,0,29
State Key Lab Cultivat Base Geog Environm Evolut,3,11,238
Stephen F Austin State Univ,3,0,10
Sunway Univ,3,0,30
SUNY Buffalo,3,18,52
SUNY Syracuse,3,21,139
Taita Taveta Univ,3,7,54
Taiwan Forestry Res Inst,3,1,21
Tech Univ Denmark,3,2,118
Tennessee State Univ,3,1,38
Texas Parks & Wildlife Dept,3,2,13
Tianshui Normal Univ,3,0,43
Tokyo Inst Technol,3,3,27
Tokyo Metropolitan Univ,3,0,105
Tokyo Univ Agr,3,4,17
Tongji Univ,3,0,24
Trier Univ,3,2,32
Tripura Univ,3,1,17
UiT Arctic Univ Norway,3,1,31
Univ Aegean,3,4,48
Univ Agr Sci,3,30,79
Univ Almeria,3,0,65
Univ Antilles,3,2,23
Univ Autonoma Chiapas,3,0,11
Univ Bath,3,2,57
Univ Birmingham,3,1,60
Univ Bologna,3,3,70
Univ Bordeaux,3,0,13
Univ Brunei Darussalam,3,0,110
Univ Bucharest,3,3,85
Univ Buffalo,3,10,123
Univ Burdwan,3,0,27
Univ Calabria,3,0,97
Univ Caldas,3,1,27
Univ Calif,3,1,45
Univ Coll Cork,3,11,59
Univ Concepcion,3,3,22
Univ Dar es Salaam,3,0,11
Univ Delaware,3,5,73
Univ Durham,3,6,91
Univ Estado Rio de Janeiro,3,0,110
Univ Estadual Montes Claros,3,0,4
Univ Estadual Paulista UNESP,3,59,148
Univ Fed Amazonas,3,0,15
Univ Fed Juiz de Fora,3,0,8
Univ Fed Reconcavo Bahia,3,0,11
Univ Fed Rio Grande,3,0,20
Univ Fed Sao Carlos UFSCar,3,1,37
Univ Fed Tocantins,3,0,8
Univ Fed Uberlandia,3,0,14
Univ Gothenburg,3,4,107
Univ Guilan,3,6,24
Univ Guyane,3,5,200
Univ Hyderabad,3,0,155
Univ Ibadan,3,10,56
Univ Ilorin,3,0,33
Univ Johannesburg,3,0,90
Univ Khartoum,3,0,72
Univ Kiel,3,0,24
Univ Kurdistan,3,3,53
Univ Las Palmas Gran Canaria,3,2,33
Univ Malaysia Sabah,3,0,1170
Univ Malaysia Sarawak,3,1,33
Univ Malaysia Terengganu,3,0,79
Univ Malta,3,3,63
Univ Mayor,3,0,62
Univ Metropolitana Ciencias Educ,3,5,36
Univ Minho,3,0,41
Univ Minnesota Twin Cities,3,21,223
Univ Montpellier 2,3,5,50
Univ Montpellier 3,3,16,128
Univ Munich,3,7,91
Univ Nacl,3,5,49
Univ Nacl Agr La Molina,3,0,211
Univ Nacl Colombia Sede Medellin,3,1,31
Univ Nacl Mayor San Marcos,3,65,204
Univ Nacl Moquegua,3,4,18
Univ Nacl Sur,3,15,66
Univ Nacl Toribio Rodriguez Mendoza Amazonas,3,4,45
Univ Nacl Tucuman,3,13,60
Univ New Brunswick,3,6,39
Univ Nordland,3,52,310
Univ North Texas,3,0,49
Univ Ostrava,3,0,7
Univ Pablo de Olavide,3,3,39
Univ Paul Sabatier,3,16,230
Univ Peradeniya,3,0,53
Univ Philippines Los Banos,3,2,33
Univ Poitiers,3,18,70
Univ Pompeu Fabra,3,0,36
Univ Putra Malaysia,3,0,111
Univ Reg Amazon Ikiam,3,1,179
Univ Ryukyus,3,1,30
Univ S Carolina,3,28,165
Univ Sains Malaysia,3,1,22
Univ Salento,3,0,82
Univ Seoul,3,139,447
Univ Silesia,3,0,22
Univ Silesia Katowice,3,0,18
Univ Simon Bolivar,3,0,122
Univ Southern Mississippi,3,0,12
Univ Southern Queensland,3,32,233
Univ Sulaimani,3,0,68
Univ Swat,3,0,9
Univ Szczecin,3,0,19
Univ Tecn Norte,3,0,172
Univ Texas Arlington,3,1,133
Univ Thessaly,3,2,44
Univ Tras Os Montes & Alto Douro UTAD,3,0,17
Univ Ulm,3,30,189
Univ Vet & Anim Sci,3,1,12
Univ Wroclaw,3,0,11
Univ Zaragoza,3,7,54
USA,3,16,138
Uttarakhand Space Applicat Ctr,3,19,88
Virginia Commonwealth Univ,3,15,63
Vrije Univ Brussel,3,2,94
Wageningen UR,3,26,168
Washington Univ,3,71,285
Water Saving Agr Southern Hill Area Key Lab Sichu,3,0,190
Wesleyan Univ,3,9,68
Western Australian Museum,3,0,18
Wisconsin Dept Nat Resources,3,0,30
World Agroforestry Ctr ICRAF,3,0,54
WWF India,3,0,51
Xinjiang Univ Finance & Econ,3,0,75
Yeungnam Univ,3,0,48
Yunnan Acad Forestry & Grassland,3,0,28
Zhejiang Normal Univ,3,0,47
Zhejiang Prov Ctr Dis Control & Prevent,3,2,67
Zhengzhou Univ,3,0,25
Zhoukou Normal Univ,3,8,41
1 Univ New Mexico,2,6,34
Abdelmalek Essaadi Univ,2,0,18
Aberystwyth Univ,2,9,56
Adigrat Univ,2,0,1
Adm Parques Nac,2,5,21
Agr & Agri Food Canada,2,1,35
Agr Res Ctr,2,0,4
Agr Sci & Nat Resources Univ Khuzestan,2,3,53
Agr Univ Krakow,2,2,38
AgResearch,2,9,31
Ahmadu Bello Univ,2,7,36
Airlangga Univ,2,0,10
Aksaray Univ,2,1,4
Al Farabi Kazakh Natl Univ,2,0,12
Alabama A&M Univ,2,0,14
Alfred Wegener Inst,2,0,26
Alianza Gato Andino,2,2,28
Anastasia Mosquito Control Dist,2,9,64
Anhui Tianma Natl Nat Reserve Adm,2,0,5
Anhui Univ Chinese Med,2,0,12
Anim & Plant Quarantine Agcy,2,10,24
Anim Dis Prevent & Control Ctr Qinghai Prov,2,0,15
Anna Univ,2,79,219
ANSES,2,0,74
AquaBiota Water Res,2,4,89
Ardakan Univ,2,3,93
Arizona Game & Fish Dept,2,0,19
Arkansas Game & Fish Commiss,2,1,10
ASEAN Ctr Biodivers,2,1,31
Asociac Armonia BirdLife Int,2,65,274
Assoc Kwata,2,0,34
Assoc Sustainable & Smart Aquaculture,2,0,21
Atlanta Bot Garden,2,0,35
Australian Antarctic Div,2,0,38
Australian Wildlife Conservancy,2,0,3
Avia GIS,2,7,39
Avia GIS NV,2,0,6
AZTI Tecnalia,2,16,103
Bahauddin Zakariya Univ Multan,2,6,77
Bahir Dar Univ,2,1,10
Balikesir Univ,2,0,19
Bartin Univ,2,0,5
Bat Conservat Trust,2,36,183
Bavarian State Inst Forestry,2,9,50
Beijing Inst Microbiol & Epidemiol,2,0,42
Biodivers & Climate Res Ctr Bik F,2,1,48
Biodivers Res & Conservat Soc,2,0,4
Biol Ctr CAS,2,1,25
Biota North Amer Program,2,7,67
Birbal Sahni Inst Palaeosci,2,0,6
Bird Conservat Nepal,2,0,6
BirdLife Australia,2,12,42
BirdLife Hungary,2,3,13
BirdLife Int,2,0,131
Bodoland Univ,2,0,1
Bonn ZFMK,2,6,25
Borneo Nat Fdn Int,2,0,5
Bot Gardens Conservat Int,2,0,36
Bot Survey India,2,5,28
Botswana Univ Agr & Nat Resources,2,0,1
Brazilian Inst Environm & Renewable Nat Resources,2,0,47
British Trust Ornithol,2,0,1
Brown Univ,2,3,141
Burdur Mehmet Akif Ersoy Univ,2,0,14
Ca Foscari Univ Venice,2,0,79
CABI,2,0,6
Calif Acad Sci,2,0,161
Calif Dept Food & Agr,2,1,63
Calif State Polytech Univ Humboldt,2,0,39
Canadian Food Inspect Agcy,2,4,24
Cape Peninsula Univ Technol,2,0,24
Cary Inst Ecosyst Studies,2,1,12
CAS,2,0,4
Case Western Reserve Univ,2,11,40
Cent Forest State Nat Biosphere Reserve,2,0,3
Cent Inland Fisheries Res Inst,2,2,10
Cent South Univ,2,1,6
Cent Univ Kerala,2,0,3
Cent Univ Punjab,2,0,7
Cent Univ Rajasthan,2,2,12
Cetacean Sirenian Indonesia CETASI,2,2,46
CGIAR Res Program Climate Change Agr & Food Secur,2,5,193
Chaharmahal & Bakhtiari Agr & Nat Resources Res &,2,8,23
Changbai Mt Acad Sci,2,0,34
Chengdu Res Base Giant Panda Breeding,2,3,55
Chengdu Univ,2,0,7
Cheongju Univ,2,0,2
Chiba Univ,2,3,22
China Geol Survey,2,0,3
China Meteorol Adm,2,0,48
Chinese Acad Agr Sci CAAS,2,0,50
Chinese Acad Sci & Minist Water Resources,2,0,53
Chongqing Technol & Business Univ,2,0,194
Chonnam Natl Univ,2,0,2
CIBIO InBio,2,5,52
CINVESTAV Merida,2,0,12
City Univ Hong Kong,2,0,16
Clarkson Univ,2,4,36
CMCC Fdn Euro Mediterranean Ctr Climate Change,2,0,6
Cochin Univ Sci & Technol,2,2,6
COFAA,2,0,124
Colecc Boliviana Fauna,2,14,48
Colgate Univ,2,1,18
Coll Agr & Environm Sci,2,13,41
Comis Nacl Conocimiento & Uso Biodiversidad Conab,2,0,15
Commonwealth Sci & Ind Res Org,2,3,157
COMSATS Univ,2,7,24
COMSATS Univ Islamabad,2,7,24
CONACYT Univ Autonoma Sinaloa,2,0,7
Consejo Nacl Ciencia & Technol,2,0,28
Consejo Nacl Invest Cient & tecnol CONICET,2,0,5
Conservac Biodiversidad Usumacinta AC,2,5,64
Conservac Biol & Desarrollo Social AC,2,5,48
Conservat Biol Inst,2,8,209
Cooperat Res Ctr Natl Plant Biosecur,2,102,807
Council Sci & Ind Res CSIR,2,4,37
CSIR Inst Himalayan Bioresource Technol,2,8,36
CSIRO Climate Adaptat Flagship & Ecosyst Sci,2,23,76
CSIRO Land & Water,2,44,166
CSIRO Livestock Ind,2,102,807
CSIROs Wealth Oceans Flagship,2,13,125
CSS,2,2,48
CSS Inc,2,9,48
Ctr Atom Bariloche,2,0,2
Ctr Cambio Global & Sustentabilidad AC,2,0,830
Ctr Cambio Global & Sustentabilidad Sureste AC,2,0,430
Ctr Cooperat Int Rech Agron Dev CIRAD,2,6,30
Ctr Environm Fisheries & Aquaculture Sci Cefas,2,14,124
Ctr Excellence Biodivers & Mol Plant Breeding,2,0,8
Ctr Invest & Estudios Avanzados Cinvestav,2,0,20
Ctr Invest Biodiversidade & Recursos Genet CIBIO,2,24,133
Ctr Invest Cient & Educ Super Ensenada CICESE,2,0,9
Ctr Invest Cient Yucatan AC,2,3,57
Ctr Rech Sci Nat,2,1,69
Ctr Suisse Rech Sci,2,0,12
CUNY Grad Sch & Univ Ctr,2,1,34
CUNY Hunter Coll,2,4,29
Danube Res Inst,2,3,13
Debre Markos Univ,2,0,19
Democritus Univ Thrace,2,0,175
Denver Museum Nat & Sci,2,2,17
Dept Agr & Rural Affairs Jiangxi Prov,2,1,27
Dept Biol,2,0,7
Dept Environm,2,0,105
Dept Planning & Environm,2,0,2
Doon Univ,2,8,27
DOPPS BirdLife Slovenia,2,0,21
Dr Yashwant Singh Parmar Univ Hort & Forestry,2,4,19
Durrell Wildlife Conservat Trust,2,1,9
Duy Tan Univ,2,3,198
Duzce Univ,2,0,8
E China Normal Univ,2,10,96
Earlham Coll,2,15,82
East Coast Geospatial Consultants,2,0,38
Ecobridge Continental,2,33,113
Ecohlth Alliance,2,0,53
Ecole Polytech Fed Lausanne EPFL,2,0,35
Eduardo Mondlane Univ,2,0,69
Egyptian Minist Environm,2,0,5
Elon Univ,2,0,45
EMBRAPA,2,2,39
Embrapa Amapa,2,3,22
Embrapa Cenargen,2,0,92
Embrapa Pantanal,2,10,103
Emory Univ,2,0,5
Ente gest Aree Protette Alpi Cozie,2,2,11
Environm Canada,2,9,67
Environm Consultant ENVI,2,3,20
Environm Def Fund,2,6,78
Erzincan Binali Yildirim Univ,2,0,3
Escuela Politec Nacl,2,0,166
Estonian Univ Life Sci,2,0,15
ETT SpA,2,0,4
Euro Mediterranean Ctr Climate Change,2,1,75
European Commiss,2,5,62
Fac Vet,2,0,57
Fatima Jinnah Women Univ,2,0,6
Fauna & Flora Int,2,0,54
Fdn Invest Clima,2,0,26
Fdn Migres,2,4,41
Fdn ProYungas,2,2,32
Fed Ctr Anim Hlth FGBI ARRIAH,2,0,3
Fed Res Ctr Virol & Microbiol,2,0,3
Fed Res Inst Anim Hlth,2,1,36
Fed Univ Agr,2,0,30
Fed Univ Technol Akure,2,0,15
Fed Univ Western Para,2,0,0
FGBI Fed Ctr Anim Hlth FGBI ARRIAH,2,0,8
Field Observat & Res Stn Green Agr Dancheng Cty,2,1,5
Florida Dept Agr & Consumer Serv,2,6,175
Food & Agr Org,2,0,32
Food & Agr Org United Nations FAO,2,6,69
Food & Environm Res Agcy,2,5,142
Force Hlth Protect & Prevent Med,2,5,24
Forest Res,2,4,58
Forest Res Inst Baden Wuerttemberg,2,84,317
Forest Res Inst Baden Wurttemberg,2,0,36
Forest Res Inst Deemed Univ,2,14,62
FRB CESAB,2,0,20
FREELAND Fdn,2,0,30
French Inst Pondicherry,2,19,123
Friedrich Schiller Univ,2,0,74
Fundacao Univ Fed Grande Dourados,2,0,54
GB Pant Natl Inst Himalayan Environm & Sustainabl,2,23,97
GB Pant Natl Inst Himalayan Environm NIHE,2,0,32
Georg August Univ,2,7,16
Georgia Dept Nat Resources,2,7,25
Global Penguin Soc,2,0,11
Global Primate Network Nepal,2,7,27
Gorgon Univ Agr Sci & Nat Resources,2,1,27
Govt Hashmat Ali Islamia Associate Coll Rawalpind,2,0,178
Govt India,2,0,5
Govt Nepal,2,2,37
Govt Western Australia,2,11,76
Grad Univ Sci & Technol,2,2,16
Grand Valley State Univ,2,0,18
Green Governance Nepal,2,0,8
Grigore Antipa Natl Museum Nat Hist,2,0,63
Guangdong Acad Agr Sci,2,19,141
Guangdong Inspect & Quarantine Technol Ctr,2,25,160
Guangxi Forest Inventory & Planning Inst,2,0,7
Guangxi Normal Univ Nationalities,2,0,12
Guiyang Univ,2,0,6
Guizhou Inst Forest Inventory & Planning,2,0,19
Gunung Leuser Natl Pk Agcy,2,0,2
Hainan Normal Univ,2,2,83
Hangzhou Normal Univ,2,4,22
Harbin Univ,2,0,36
Harvard Med Sch,2,0,16
Harvard Univ Herbaria,2,0,24
Hasselt Univ,2,0,24
Headwaters Corp,2,4,58
Hebei Univ Chinese Med,2,0,6
Hebrew Univ Jerusalem,2,0,8
Heidelberg Univ,2,0,12
Heilongjiang Ecometeorol Ctr,2,0,48
Hellen Ctr Marine Res,2,10,69
Helmholtz Ctr Environm Res GmbH UFZ,2,0,4
Helmholtz Zentrum Polar & Meeresforsch,2,2,41
Henan Agr Univ,2,0,10
Henan Univ Technol,2,0,11
Herman Teirlinckgebouw,2,0,55
Herping,2,0,21
Higher Natl Sch Forests,2,0,4
HNB Garhwal Univ,2,0,5
Hormozgan Univ Med Sci,2,3,31
Hosp Gen Enrique Garces,2,0,69
HSE Univ,2,0,9
Huaqiao Univ,2,0,7
Hunan Univ Sci & Technol,2,1,10
Huzhou Ecol Forestry Protect Res Ctr,2,0,0
Huzhou Univ,2,0,0
IAEA,2,18,119
